match,comp,alliance,team1,team2,team3
89,qm,red,6334,5546,2068
89,qm,blue,3793,2377,1599
90,qm,red,1885,2363,2998
90,qm,blue,614,6802,346
91,qm,red,4541,5338,339
91,qm,blue,3359,836,1111
92,qm,red,2537,2914,5587
92,qm,blue,4242,3748,1727
93,qm,red,2912,977,1418
93,qm,blue,620,6543,1413
94,qm,red,1610,619,4638
94,qm,blue,2534,686,1629
95,qm,red,7886,1731,888
95,qm,blue,1086,449,2199
96,qm,red,4456,4472,2106
96,qm,blue,1719,1262,612
97,qm,red,1123,2849,4099
97,qm,blue,7770,1610,620
98,qm,red,5338,1629,2068
98,qm,blue,1413,614,619
99,qm,red,888,1885,2028
99,qm,blue,2998,3793,7886
100,qm,red,2534,2377,4456
100,qm,blue,2363,686,540
101,qm,red,1111,6802,836
101,qm,blue,1719,7770,6543
102,qm,red,2199,5830,384
102,qm,blue,4541,5587,4472
103,qm,red,2106,2912,3359
103,qm,blue,2849,4099,2914
104,qm,red,6882,1262,977
104,qm,blue,1418,5546,6334
105,qm,red,1123,4638,449
105,qm,blue,3748,1599,2537
106,qm,red,4242,1727,346
106,qm,blue,612,1086,339
107,qm,red,422,1731,6882
107,qm,blue,5830,7886,339
108,qm,red,888,1885,1086
108,qm,blue,540,2028,6334
109,qm,red,2068,1413,1599
109,qm,blue,2998,2363,836
110,qm,red,1629,346,7770
110,qm,blue,3359,4541,1727
111,qm,red,1123,2106,4472
111,qm,blue,2199,977,2537
112,qm,red,1262,449,5546
112,qm,blue,612,5338,4242
113,qm,red,6802,4638,4456
113,qm,blue,1719,5587,2377
114,qm,red,1731,1418,1111
114,qm,blue,3793,3748,619
115,qm,red,1610,2912,2849
115,qm,blue,384,6543,686
116,qm,red,2534,4099,620
116,qm,blue,422,614,2914
