2020abca,Canadian Rockies Regional
2020alhu,Rocket City Regional
2020arli,Arkansas Regional
2020ausc,***POSTPONED*** Southern Cross Regional - see Site Info document
2020ausp,***POSTPONED*** South Pacific Regional - see Site Info document
2020azfl,***POSTPONED*** Arizona North Regional - See Site Info Document
2020azpx,Arizona West Regional
2020bcvi,Canadian Pacific Regional
2020bexi,***POSTPONED*** Beijing Cultural Exchange Event #1 - see Site Info document
2020bexi2,***POSTPONED*** Beijing Cultural Exchange Event #2 - see Site Info document
2020caav,Aerospace Valley Regional
2020cada,Sacramento Regional
2020cadm,Del Mar Regional
2020cafr,Central Valley Regional
2020cala,Los Angeles Regional
2020caln,Los Angeles North Regional
2020camb,Monterey Bay Regional
2020caoc,Orange County Regional
2020casd,San Diego Regional presented by Qualcomm
2020casf,***POSTPONED*** San Francisco Regional - See Site Info Document
2020casj,***POSTPONED*** Silicon Valley Regional - See Site Info Document
2020cass,SCRRF SoCal Spring Scrimmage
2020cave,Ventura Regional
2020chcmp,FIRST Chesapeake District Championship sponsored by Newport News Shipbuilding
2020chta,***POSTPONED*** Science Park Taichung Regional - see Site Info document
2020cmpmi,FIRST Championship (Detroit)
2020cmptx,FIRST Championship (Houston)
2020code,Colorado Regional
2020cthar,NE District Hartford Event
2020ctnct,NE District Northern CT Event
2020ctwat,NE District Waterbury Event
2020facc,FACC Ri3D Competition
2020flor,Orlando Regional
2020flwp,South Florida Regional
2020ftcmp,FIRST In Texas District Championship
2020gaalb,PCH District Albany Event presented by Procter & Gamble
2020gacar,PCH District Carrollton Event
2020gacmp,Peachtree District State Championship
2020gacol,PCH District Columbus Event
2020gadal,PCH District Dalton Event
2020gagai,PCH District Gainesville Event presented by Automation Direct
2020hiho,Hawaii Regional
2020iacf,Iowa Regional
2020idbo,Idaho Regional
2020ilch,Midwest Regional
2020ilpe,Central Illinois Regional
2020inblo,IN District Bloomington Event
2020incmp,Indiana State Championship
2020incol,IN District Columbus Event
2020inmis,IN District St. Joseph Event
2020inpmh,IN District Perry Meridian Event
2020iscmp,FIRST Israel District Championship
2020isde1,ISR District Event #1
2020isde2,ISR District Event #2
2020isde3,ISR District Event #3
2020isde4,ISR District Event #4
2020ksla,Heartland Regional
2020lake,Bayou Regional
2020mabos,NE District Greater Boston Event
2020mabri,NE District SE Mass Event
2020marea,NE District North Shore Event
2020mawne,NE District Western NE Event
2020mawor,NE District WPI Event
2020mdbet,CHS District Bethesda MD Event sponsored by Accenture
2020mdedg,CHS District Edgewater MD Event sponsored by Leidos
2020mdowi,CHS District Owings Mills MD Event
2020melew,NE District Pine Tree Event
2020mial2,FIM District Alpena Event #2
2020mialp,FIM District Alpena Event #1
2020mibel,FIM District Belleville Event
2020micen,FIM District Center Line Event
2020micmp,Michigan State Championship
2020midet,FIM District Detroit Event
2020miesc,FIM District Escanaba Event
2020mifer,FIM District Ferris State Event
2020migul,FIM District Gull Lake Event
2020mijac,FIM District Jackson Event
2020mike2,FIM District Kettering University Event #2
2020miken,FIM District East Kentwood Event
2020miket,FIM District Kettering University Event #1
2020mikng,FIM District Kingsford Event
2020milak,FIM District Lakeview Event
2020milan,FIM District Lansing Event
2020milin,FIM District Lincoln Event
2020miliv,FIM District Livonia Event
2020mimar,FIM District Marysville Event
2020mimcc,FIM District Macomb Community College Event
2020mimid,FIM District Midland Event
2020mimil,FIM District Milford Event
2020mimus,FIM District Muskegon Event
2020mishe,FIM District Shepherd Event
2020misjo,FIM District St. Joseph Event
2020misou,FIM District Southfield Event
2020mitry,FIM District Troy Event
2020mitvc,FIM District Traverse City Event
2020miwmi,FIM District West Michigan Event
